"","...1","district_code","1-3 Points","5-8 Points","9-12 Points","12+ Points","Total","cluster","penalty_group","penalty_rank","PCA1","PCA2"
"99",99,"TR",14994,4890,112,24,20148,2,"Medium Risk","2",0.153136376927275,0.249707588923318
"100",100,"TS",18088,6059,182,28,24547,2,"Medium Risk","2",0.974416145023047,0.00175181012043865
"101",101,"TW",19227,8702,223,34,28415,3,"High Risk","3",9.42926936252154,0.283336624658197
"102",102,"UB",12629,6070,180,17,19087,3,"High Risk","3",11.3317838133892,0.0917489330413531
"103",103,"UN",1358,490,16,1,1880,2,"Medium Risk","2",2.98064309269412,-0.00298773477040343
"104",104,"WA",23842,7273,239,33,31563,2,"Medium Risk","2",-1.49637944017591,0.0273020797898085
"105",105,"WC",488,224,6,1,729,3,"High Risk","3",10.0286365893371,-0.106661673576826
"106",106,"WD",10559,3602,105,17,14408,2,"Medium Risk","2",1.48350158461928,-0.026216174514775
"107",107,"WF",21672,8091,342,63,30447,2,"Medium Risk","2",4.10701093200776,-0.430502001641122
"108",108,"WN",9903,3027,108,17,13145,2,"Medium Risk","2",-1.35795888597019,-0.134224396016697
"109",109,"WR",12859,3563,68,7,16545,1,"Low Risk","1",-4.12945833942506,0.50076441932945
"110",110,"WS",16718,5555,166,17,22604,2,"Medium Risk","2",0.700923524991863,0.101832168955557
"111",111,"WV",13920,4984,149,22,19190,2,"Medium Risk","2",2.69447648174922,0.147529929789864
"112",112,"YO",21177,6247,180,40,27819,1,"Low Risk","1",-2.328044504197,0.0360095282206107
"113",113,"ZE",281,82,3,0,369,1,"Low Risk","1",-2.50405324153377,-0.162681996912116
